StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q0,Q2,Q3,Q4,Q5,Q6,Q6_7_TEXT,Q7,Q8#1_1,Q8#1_2,Q8#1_3,Q8#2_1,Q8#2_2,Q8#2_3,QBhairav flute,Q2VrundavaniSarang,Q(Malkauns-flute),Q(Bhupali - flute),Q5GaudSarang-concert,Q(Bibhas - concert),Q7jaijaivant-concert,Q8Shankara,Q(Aeolian),Q(Dorian),Q(Ionian),Q(Lydian),Q(Mixolydian),Q(Phrygian),Q1aBhupali song,Q1b,Q2a,Q2b,Q3a(Malkauns song),Q3b,Q4a(Bhairav song),Q4b,Q,SC0
2021-12-07 12:46:50,2021-12-07 13:10:09,0,100,1398,1,2021-12-07 13:10:09,R_8xd4u41HvqSHxbX,anonymous,EN,1,2,7,,4,2,,4,1,1,2,1,1,2,1,3,1,1,2,2,2,3,1,4,2,2,3,4,3,1,1,1,3,1,4,1,NA,3
2021-12-07 13:14:10,2021-12-07 13:21:47,0,100,456,1,2021-12-07 13:21:47,R_29hQFYc2YdrarxS,anonymous,EN,1,3,7,,4,4,,4,1,1,2,1,1,2,4,4,1,4,3,3,3,3,4,1,3,2,2,3,4,1,2,1,4,1,2,1,"It was interesting. Very abstract, even more so as I didn’t know most of the music.",3
2021-12-07 15:17:21,2021-12-07 15:25:07,0,100,466,1,2021-12-07 15:25:08,R_eQkQ5TQ7SYMNhSx,anonymous,EN,1,3,7,,3,7,12am-6am,4,1,1,2,1,1,2,3,3,3,4,1,3,3,1,4,4,2,4,2,4,1,1,3,1,4,1,2,1,A few other categories about how we feel about each music would also be interesting. Very interesting study.,2
2021-12-07 15:48:49,2021-12-07 15:58:22,0,100,572,1,2021-12-07 15:58:22,R_3pc2y8Hv9gMbxLY,anonymous,EN,1,2,7,,4,4,,4,1,1,2,1,1,2,1,4,1,1,3,3,2,3,1,3,4,4,2,4,2,1,1,1,2,1,3,1,Everything is Very abstract bit is Very interetsing. Most of the Songs i can relate to more than onde time of the day,1
2021-12-07 15:14:09,2021-12-07 16:39:28,0,100,5118,1,2021-12-07 16:39:28,R_3JgBy9XJIBmGeom,anonymous,EN,1,5,7,,4,2,,5,2,2,3,3,3,4,3,1,4,3,4,1,3,2,4,4,1,4,2,3,1,4,2,1,4,1,1,1,"It was a very nice and deep research, it's not difficult when we let our feeling flow and realize the periods where the music fits best.
The division into periods of the day is great.",7
2021-12-08 04:30:33,2021-12-08 05:50:38,0,100,4805,1,2021-12-08 05:50:39,R_2uKYTnKVo0MXmlp,anonymous,EN,1,2,7,,,2,,4,1,1,3,1,1,4,3,3,3,3,2,3,2,2,3,2,1,3,2,1,3,1,1,1,3,1,2,1,"The diversity of musical pieces is interesting, but having to select a moment in the day is rather abstract. Listening to a certain type of music depends a lot on the mood and the environment, not only the part of the day ",3
2021-12-08 14:24:13,2021-12-08 15:02:27,0,100,2293,1,2021-12-08 15:02:28,R_3PiV3ZrFcx3R5RH,anonymous,EN,1,5,7,,,4,,4,2,2,3,3,1,1,4,4,3,2,3,2,2,3,3,2,2,2,2,2,2,1,2,1,3,1,2,1,swer,1
2021-12-06 12:45:06,2021-12-08 15:25:29,0,100,182422,1,2021-12-08 15:25:30,R_1QipYUep3d2yohX,anonymous,EN,1,2,1,7,3,2,,4,2,3,2,2,4,2,1,1,1,2,4,3,2,3,1,2,3,4,3,2,1,4,1,1,1,1,4,1,Interesting survey! I think my answers may be a bit skewed by the fact that I don't like listening to music in the morning except for a very specific type of music.,1
2021-12-09 13:01:27,2021-12-09 13:13:31,0,100,723,1,2021-12-09 13:13:31,R_1N3KyvexwP8pUQg,anonymous,EN,1,2,7,,3,4,,4,1,1,2,1,1,2,1,1,4,1,2,3,3,2,4,4,3,1,2,2,1,1,2,1,1,4,3,1,"A bit abstract but not too much, it was hard for me to differentiate between something I would listen to in the afternoon or the evening, and the same for morning and night.",5
2021-12-09 13:07:42,2021-12-09 13:44:58,0,100,2236,1,2021-12-09 13:44:58,R_OHlPzRSm7Bxvw2Z,anonymous,EN,1,3,7,,3,2,,5,1,1,2,1,1,2,1,1,1,1,4,3,3,3,2,4,2,1,3,1,3,1,4,1,4,1,3,1,"I think defining evening from night would be helpful as I'm not sure my definition of these matches others' definitions of these. It is a hard task, but I found in some clips I could clearly see myself dancing to the music so it seemed like evening/nighttime music.",4
2021-12-02 19:49:09,2021-12-02 19:50:01,0,30,52,0,2021-12-09 19:50:01,R_3Dnj9u26J1axjXa,anonymous,EN,1,2,7,,3,4,,4,1,1,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-10 08:25:54,2021-12-10 09:27:13,0,100,3679,1,2021-12-10 09:27:13,R_3iJDn5mHRmKgQvy,anonymous,EN,1,3,7,,3,6,,5,1,1,3,1,1,4,1,3,1,1,3,2,2,2,4,1,2,3,2,2,2,1,2,1,3,1,2,1,"Interesting - I think it would be better if you also asked what sort of task we were involved with (i.e. chores, focused work, exercise) because that matters more to me",2
2021-12-03 16:23:09,2021-12-03 16:26:43,0,6,213,0,2021-12-10 16:26:44,R_3nrxBXuFUISWqUa,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-10 18:50:51,2021-12-10 18:55:25,0,100,273,1,2021-12-10 18:55:25,R_2VrTi9EtMrGMiNb,anonymous,EN,1,2,7,,3,4,,5,1,1,2,1,1,2,3,3,3,3,1,1,3,1,4,4,1,3,3,3,1,1,1,1,3,1,1,1,I have no idea about indian music and I don't like some of the music inside. I would not like to listen to it anytime.,4
2021-12-04 00:08:53,2021-12-04 00:10:00,0,6,66,0,2021-12-11 00:10:00,R_cAy2abpCp6emABX,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-04 02:29:46,2021-12-04 02:31:25,0,30,99,0,2021-12-11 02:31:33,R_3DolxxNLIm3f2vA,anonymous,EN,1,5,7,,,4,,4,2,2,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-05 11:33:54,2021-12-05 11:39:40,0,42,346,0,2021-12-12 11:39:41,R_26bwO9zI8qOGoc4,anonymous,EN,1,2,7,,6,7,12pm - 7am,5,1,1,1,1,1,1,4,4,,,2,2,,,,,,,,,,,,,,,,,,1
2021-12-12 11:07:47,2021-12-12 11:42:36,0,100,2089,1,2021-12-12 11:42:37,R_2U4lNWSVNrsVtGT,anonymous,EN,1,3,7,,3,2,,4,1,1,3,1,1,4,3,3,2,2,1,3,1,3,3,4,1,3,2,3,1,1,1,1,2,1,3,1,"very interesting; excerpts were quite long for a survey (esp. since it was advertised as 15-20 minutes, where if you actually listened to all the clips all the way through, it adds up to more than that); felt like my decisions were generally based on tempo/energy level and timbres",0
2021-12-06 02:04:03,2021-12-06 02:10:56,0,42,412,0,2021-12-13 02:10:57,R_0MxyCa3kTeNUn7j,anonymous,EN,1,2,7,,,2,,4,1,1,2,1,1,1,,,3,,,2,2,2,,,,,,,,,,,,,,,,0
2021-12-13 11:11:27,2021-12-13 11:20:03,0,100,515,1,2021-12-13 11:20:03,R_2P1p1S8H2N3i6F4,anonymous,EN,1,2,7,,,7,11 pm - 7 pm,4,1,1,3,1,1,4,4,4,4,4,3,3,3,3,4,4,1,4,2,2,2,1,1,1,3,1,2,1,"It was interesting, not hard and some abstract. In my opinion, too few categories and I didn't listen all the example, only few seconds of each one.",2
2021-12-13 11:10:50,2021-12-13 11:24:34,0,100,823,1,2021-12-13 11:24:34,R_10JmyBJZ6a43AFQ,anonymous,EN,1,2,7,,,2,,4,1,1,3,1,1,4,3,3,3,1,2,2,2,1,3,3,1,1,2,3,1,1,3,1,1,1,2,1,I have never heard these types of music. Normally I associate calmer music with something relaxing and I prefer to listen to it in the morning.,1
2021-12-13 11:11:30,2021-12-13 11:24:55,0,100,805,1,2021-12-13 11:24:55,R_Q0JQKNbHQUi1X7X,anonymous,EN,1,2,7,,,4,,4,1,1,2,1,1,2,1,3,3,4,4,2,2,4,3,3,1,4,2,3,1,1,2,1,3,1,4,1,I never listen to this type of music and the truth is that I have loved discovering it. It is incredible to see how I can relate them to any moment of the day so easily.,3
2021-12-13 11:10:39,2021-12-13 11:25:14,0,100,874,1,2021-12-13 11:25:14,R_3g1aJhqC3CCROqV,anonymous,EN,1,2,7,,,2,,4,1,1,3,1,1,4,4,3,3,1,2,1,3,1,4,3,1,3,2,3,1,1,2,1,3,1,4,1,"It was quite difficult, but the music was interesting.",4
2021-12-13 11:11:34,2021-12-13 11:26:46,0,100,912,1,2021-12-13 11:26:47,R_1FJrmKnMdKl2Php,anonymous,EN,1,2,7,,,2,,4,1,1,3,1,1,4,4,3,3,1,1,3,2,1,1,2,2,3,2,3,1,1,1,1,3,1,4,1,It wa interenting,0
2021-12-13 11:12:03,2021-12-13 11:28:43,0,100,1000,1,2021-12-13 11:28:43,R_1o6lEsKOlIyCC9A,anonymous,EN,1,2,7,,,2,,4,1,1,1,1,1,1,1,3,3,1,3,3,3,3,4,4,1,4,1,2,1,1,2,1,3,1,2,1,It was very interesting,3
2021-12-13 16:22:34,2021-12-13 16:38:30,0,100,955,1,2021-12-13 16:38:30,R_2tEwwO4gGVZezFu,anonymous,EN,1,2,7,,3,4,,4,1,1,3,1,1,4,1,4,1,1,4,2,4,2,4,4,3,1,3,3,2,1,3,1,3,1,3,1,n/a,1
2021-12-06 16:38:22,2021-12-06 16:40:23,0,30,121,0,2021-12-13 16:40:24,R_b18PCUzppXCeTpT,anonymous,EN,1,2,1,7,3,1,,4,2,2,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 09:41:03,2021-12-07 09:43:23,0,30,140,0,2021-12-14 09:43:23,R_3CCqb5wCx2DWzaa,anonymous,EN,1,3,7,,4,2,,4,2,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 10:05:44,2021-12-07 10:07:36,0,27,111,0,2021-12-14 10:07:37,R_b2isJzEfFa7o5d7,anonymous,EN,1,2,7,,4,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 10:46:46,2021-12-07 10:49:04,0,30,137,0,2021-12-14 10:49:10,R_3nJmwVZANbgZRfQ,anonymous,EN,1,5,7,,4,2,,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 11:04:21,2021-12-07 11:04:43,0,3,22,0,2021-12-14 11:04:44,R_2e4MMsK6kdRcV3n,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 11:15:17,2021-12-07 11:16:03,0,3,45,0,2021-12-14 11:16:03,R_1ikQnFcaB3qkOSN,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-07 14:28:56,2021-12-07 14:36:21,0,73,444,0,2021-12-14 14:36:26,R_1oyTUcVlj293l3R,anonymous,EN,1,2,7,,5,1,,5,2,1,3,1,1,1,3,4,1,4,1,2,2,2,,,,,,,1,1,2,1,1,1,,,,1
2021-12-07 12:04:23,2021-12-07 14:58:46,0,3,10463,0,2021-12-14 14:58:48,R_3nckS87ItyfXfaR,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-08 00:38:24,2021-12-08 01:04:49,0,55,1584,0,2021-12-15 01:04:49,R_CgKz22N4wQZOnuh,anonymous,EN,1,3,7,,,1,,4,1,2,3,1,2,4,4,4,4,4,1,3,2,1,,,,,,,,,,,,,,,,1
2021-12-08 12:10:57,2021-12-08 12:30:45,0,30,1188,0,2021-12-15 12:30:49,R_215uamMBtwhh69c,anonymous,EN,1,3,7,,4,4,,4,1,1,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-08 14:21:41,2021-12-08 14:23:41,0,6,120,0,2021-12-15 14:23:42,R_3eyjPUYrt4Wnhd0,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-09 12:46:28,2021-12-09 12:56:34,0,30,605,0,2021-12-16 12:56:35,R_1lb3OIJ5IuodLaC,anonymous,EN,1,2,7,,3,1,,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-09 04:23:18,2021-12-09 20:42:57,0,55,58779,0,2021-12-16 20:42:57,R_1163ha3Ch8bBqTw,anonymous,EN,1,2,1,7,6,1,,5,2,2,2,1,1,1,4,1,1,1,4,4,3,3,,,,,,,,,,,,,,,,1
2021-12-10 11:39:14,2021-12-10 11:40:32,0,30,78,0,2021-12-17 11:40:34,R_2AZjsUHLWpGU8De,anonymous,EN,1,3,7,,3,2,,4,2,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-12 08:59:36,2021-12-12 09:00:13,0,3,37,0,2021-12-19 09:00:26,R_2ea7sOPMCgnV86g,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-13 11:11:49,2021-12-13 11:24:03,0,73,733,0,2021-12-20 11:24:03,R_tXuqT3YvTsH5SOR,anonymous,EN,1,4,7,,,1,,4,1,1,3,1,1,4,2,3,1,1,3,4,2,4,,,,,,,3,1,3,1,1,1,,,,2
2021-12-13 14:43:06,2021-12-13 14:43:27,0,3,21,0,2021-12-20 14:43:29,R_3QJX7NNvAw2qGvs,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2021-12-16 15:57:30,2021-12-16 16:09:41,0,42,730,0,2021-12-23 16:09:43,R_abf50tfFVKCle6d,anonymous,EN,1,2,7,,3,6,,4,1,1,3,1,1,4,,3,1,,2,3,,,,,,,,,,,,,,,,,,1
